code;parent;label-pt_PT;label-en_US;label-es_AR;label-pt_BR
398;588;Snacks;Snacks;Snacks;Snacks
368;362;"Proteção Cardíaca";"Cardiac Protection";"Protección Cardíaca";"Proteção Cardíaca"
531;410;Farmacológicos;Healthcare;Farmacológicos;Farmacológicos
384;366;"Limpeza e Treino";"Cleaning & Training";"Limpieza y Entrenamiento";"Limpeza e Treino"
746;742;Trixie;Trixie;Trixie;Trixie
388;364;"Proteção Intestinal";"Digestive Care";"Protección Intestinal";"Proteção Intestinal"
609;376;Interativos;"Interactive Toys";Interactivos;Interativos
693;682;"Peixes de Água Salgada";"Saltwater Fish";"Peces de Agua Salada";"Peixes de Água Salgada"
379;370;"Trelas, Coleiras e Peitorais";Walk;"Correas, Collars y Arneses";"Trelas, Coleiras e Peitorais"
679;418;"Terrários e Tartarugueiras";"Terrarium & Habitats";"Terrarios y Tortugueras";"Terrários e Tartarugueiras"
738;587;Bebidas;Drinks;Bebidas;Bebidas
686;737;"Decoração e Acessórios";"Décor & Accessories";"Decoración y Accesorios";"Decoração e Acessórios"
434;588;"Suplementos Alimentares";"Food Supplements";"Suplementos Alimentícios";"Suplementos Alimentares"
373;362;"Proteção Articular";"Hip & Joint Care";"Protección Articular";"Proteção Articular"
594;397;Interativos;"Interactive Toys";Interactivos;Interativos
485;487;"Raças Grandes";"Raças Grandes";"Raças Grandes";"Raças Grandes"
522;517;Grooming;Grooming;Grooming;Grooming
508;504;Arame;Arame;Arame;Arame
750;742;Cães;Dogs;Dogs;Cães
739;588;Bebidas;Drinks;Bebidas;Drinks
380;370;Viagem;Travel;Viaje;Viagem
687;737;"Filtros e Material de Filtragem";"Filters & Media";"Filtros y Material Filtrante";"Filtros e Material de Filtragem"
590;366;Arranhadores;Scratchers;Scratchers;Rascadores
374;362;"Proteção Renal";"Renal Care";"Protección   Renal";"Proteção Renal"
486;487;"Raças Gigantes";"Raças Gigantes";"Raças Gigantes";"Raças Gigantes"
612;376;"Cordas e Mordedores";"Rope & Tug Toys";"Cuerdas y Mordedores";"Cordas e Mordedores"
389;364;"Proteção Articular";"Hip & Joint Care";"Protección Articular";"Proteção Articular"
680;418;"Limpeza e Manutenção";"Cleaning & Maintenance";"Limpieza y Mantenimiento";"Limpeza e Manutenção"
433;587;"Suplementos Alimentares";"Food Supplements";"Suplementos Alimenticios";"Suplementos Alimentares"
694;682;"Peixes de Fundo";"Bottom Feeder";"Peces de Fondo";"Peixes de Fundo"
377;362;"Proteção Pele e Pêlo";"Skin & Coat Care";"Protección  Piel e Pelo";"Proteção Pele e Pêlo"
383;370;Treino;Training;Entrenamiento;Treino
695;682;"Peixes Ciclídeo";Cichlid;"Peces Cíclidos";"Peixes Ciclídeo"
